water_type,wavelength_nm,quantity,value_per_m,unit,std_dev_per_m,n_campaigns,status,note
III,650,a,0.364377,1/m,0.0193398,73,included,
III,676,a,0.482101,1/m,0.0177495,73,included,
III,715,a,1.01842,1/m,0.019987,52,included,
III,412,b,0.320384,1/m,0.12043,76,included,
III,440,b,0.308834,1/m,0.118995,78,included,
III,488,b,0.323611,1/m,0.133621,71,included,
III,510,b,0.308148,1/m,0.121853,78,included,
III,532,b,0.257939,1/m,0.0942684,33,included,
III,555,b,0.306097,1/m,0.118678,78,included,
III,630,b,0.310692,1/m,0.10148,41,included,
III,650,b,0.270988,1/m,0.108252,71,included,
III,676,b,0.249285,1/m,0.0963097,70,included,
III,715,b,0.24328,1/m,0.088649,51,included,
